iter	Passed	Remaining
0	203	203000
1	207	103437
2	209	69498
3	210	52508
4	214	42770
5	216	35811
6	217	30854
7	219	27238
8	223	24559
9	224	22203
10	225	20311
11	228	18838
12	230	17493
13	231	16335
14	233	15348
15	235	14495
16	237	13709
17	238	13008
18	241	12472
19	242	11903
20	244	11408
21	246	10945
22	249	10581
23	251	10217
24	252	9855
25	255	9562
26	257	9275
27	258	8980
28	260	8706
29	262	8499
30	264	8270
31	266	8054
32	267	7838
33	270	7691
34	273	7527
35	276	7406
36	278	7247
37	280	7099
38	283	6977
39	285	6857
40	287	6714
41	288	6587
42	291	6496
43	293	6369
44	294	6253
45	297	6167
46	299	6068
47	300	5963
48	303	5891
49	305	5800
50	306	5710
51	309	5637
52	311	5569
53	313	5490
54	314	5406
55	316	5341
56	319	5282
57	320	5210
58	322	5142
59	325	5097
60	326	5031
61	328	4966
62	329	4902
63	333	4880
64	335	4825
65	336	4765
66	339	4727
67	341	4680
68	343	4635
69	346	4607
70	348	4565
71	350	4522
72	352	4481
73	355	4449
74	357	4403
75	358	4357
76	361	4337
77	364	4304
78	366	4270
79	369	4254
80	372	4225
81	377	4222
82	378	4184
83	381	4160
84	384	4136
85	387	4121
86	391	4106
87	394	4083
88	397	4067
89	400	4045
90	402	4017
91	405	3997
92	407	3969
93	409	3946
94	412	3931
95	415	3911
96	417	3885
97	420	3871
98	423	3851
99	425	3831
100	429	3820
101	431	3801
102	435	3789
103	438	3773
104	443	3777
105	446	3765
106	449	3753
107	452	3736
108	456	3727
109	458	3709
110	460	3688
111	464	3680
112	466	3661
113	471	3664
114	473	3646
115	475	3623
116	477	3601
117	480	3593
118	483	3576
119	486	3567
120	489	3555
121	492	3544
122	496	3543
123	500	3533
124	502	3518
125	505	3503
126	507	3486
127	510	3477
128	516	3490
129	520	3481
130	523	3472
131	525	3454
132	527	3436
133	530	3426
134	533	3418
135	536	3408
136	540	3402
137	542	3386
138	544	3372
139	547	3361
140	549	3346
141	553	3344
142	556	3336
143	560	3330
144	562	3316
145	565	3306
146	570	3310
147	573	3300
148	578	3302
149	580	3288
150	583	3281
151	585	3266
152	587	3251
153	590	3244
154	593	3235
155	595	3222
156	597	3208
157	600	3201
158	603	3192
159	605	3178
160	607	3164
161	610	3156
162	612	3144
163	615	3135
164	617	3127
165	620	3116
166	623	3111
167	625	3099
168	627	3086
169	630	3079
170	632	3068
171	635	3059
172	638	3052
173	641	3044
174	643	3031
175	646	3025
176	648	3015
177	650	3002
178	653	2995
179	655	2985
180	657	2974
181	660	2968
182	662	2958
183	664	2946
184	666	2936
185	669	2929
186	671	2918
187	673	2908
188	676	2902
189	678	2892
190	680	2880
191	682	2873
192	684	2863
193	686	2853
194	690	2848
195	692	2840
196	694	2832
197	699	2832
198	701	2822
199	703	2814
200	707	2810
201	709	2801
202	711	2792
203	714	2788
204	716	2779
205	718	2770
206	721	2764
207	723	2755
208	725	2744
209	728	2739
210	730	2731
211	732	2721
212	734	2715
213	737	2707
214	738	2697
215	740	2688
216	743	2684
217	745	2674
218	747	2665
219	751	2662
220	753	2655
221	755	2647
222	758	2644
223	761	2636
224	762	2627
225	766	2623
226	768	2615
227	770	2607
228	773	2603
229	775	2596
230	777	2588
231	780	2583
232	782	2575
233	784	2567
234	787	2563
235	789	2557
236	791	2549
237	793	2541
238	796	2536
239	799	2530
240	803	2530
241	805	2524
242	809	2520
243	812	2516
244	814	2510
245	818	2509
246	821	2504
247	823	2498
248	826	2493
249	829	2487
250	832	2483
251	834	2477
252	836	2469
253	839	2467
254	842	2460
255	846	2459
256	851	2461
257	854	2457
258	856	2451
259	858	2443
260	860	2436
261	864	2433
262	866	2427
263	868	2420
264	870	2414
265	872	2407
266	874	2399
267	877	2396
268	879	2389
269	881	2382
270	883	2377
271	885	2370
272	887	2362
273	888	2355
274	893	2355
275	895	2349
276	897	2342
277	900	2338
278	902	2331
279	904	2325
280	907	2321
281	909	2316
282	911	2309
283	914	2305
284	916	2299
285	918	2292
286	921	2288
287	923	2283
288	925	2277
289	928	2272
290	930	2266
291	932	2259
292	933	2252
293	937	2251
294	939	2245
295	941	2238
296	944	2234
297	946	2229
298	948	2222
299	951	2219
300	954	2215
301	957	2212
302	959	2207
303	961	2202
304	965	2200
305	967	2195
306	970	2189
307	973	2186
308	975	2182
309	978	2177
310	981	2174
311	983	2168
312	988	2169
313	991	2165
314	994	2161
315	998	2161
316	1001	2157
317	1004	2154
318	1007	2150
319	1011	2148
320	1013	2143
321	1016	2139
322	1019	2136
323	1021	2130
324	1024	2128
325	1027	2123
326	1028	2117
327	1032	2114
328	1034	2110
329	1036	2104
330	1040	2102
331	1042	2096
332	1044	2091
333	1048	2089
334	1050	2085
335	1053	2082
336	1056	2078
337	1058	2073
338	1062	2072
339	1065	2068
340	1069	2066
341	1071	2060
342	1073	2055
343	1077	2054
344	1079	2049
345	1082	2045
346	1085	2042
347	1087	2038
348	1091	2036
349	1093	2031
350	1096	2026
351	1100	2025
352	1102	2020
353	1105	2018
354	1108	2013
355	1110	2009
356	1114	2007
357	1116	2002
358	1119	1998
359	1124	1998
360	1126	1994
361	1130	1992
362	1133	1988
363	1136	1985
364	1138	1980
365	1140	1976
366	1144	1973
367	1146	1968
368	1148	1964
369	1152	1962
370	1155	1958
371	1157	1954
372	1160	1950
373	1162	1945
374	1164	1941
375	1167	1937
376	1169	1932
377	1171	1928
378	1175	1925
379	1180	1925
380	1183	1922
381	1186	1919
382	1189	1916
383	1192	1912
384	1195	1909
385	1197	1905
386	1200	1901
387	1205	1900
388	1207	1896
389	1210	1893
390	1212	1889
391	1214	1884
392	1218	1881
393	1220	1876
394	1221	1871
395	1225	1868
396	1227	1864
397	1229	1859
398	1232	1856
399	1234	1851
400	1236	1847
401	1238	1842
402	1241	1838
403	1242	1833
404	1244	1827
405	1247	1824
406	1249	1819
407	1250	1814
408	1252	1809
409	1256	1807
410	1258	1803
411	1261	1800
412	1264	1796
413	1266	1792
414	1270	1790
415	1272	1786
416	1274	1781
417	1277	1779
418	1280	1774
419	1282	1770
420	1284	1767
421	1287	1762
422	1288	1758
423	1291	1754
424	1293	1750
425	1295	1746
426	1297	1741
427	1300	1738
428	1302	1734
429	1304	1729
430	1307	1726
431	1309	1721
432	1311	1717
433	1314	1714
434	1316	1710
435	1318	1705
436	1321	1703
437	1324	1699
438	1326	1694
439	1328	1691
440	1330	1686
441	1332	1682
442	1334	1677
443	1337	1675
444	1340	1671
445	1341	1666
446	1344	1663
447	1346	1659
448	1348	1654
449	1350	1650
450	1355	1650
451	1359	1647
452	1361	1643
453	1362	1638
454	1364	1634
455	1367	1631
456	1370	1628
457	1372	1623
458	1375	1620
459	1376	1616
460	1378	1611
461	1380	1608
462	1383	1604
463	1385	1600
464	1387	1596
465	1390	1593
466	1392	1589
467	1395	1585
468	1399	1584
469	1401	1580
470	1404	1577
471	1407	1573
472	1408	1569
473	1412	1566
474	1414	1563
475	1415	1558
476	1417	1554
477	1420	1551
478	1423	1547
479	1424	1543
480	1427	1540
481	1429	1536
482	1431	1532
483	1437	1532
484	1439	1528
485	1441	1524
486	1443	1520
487	1445	1516
488	1448	1513
489	1450	1509
490	1452	1505
491	1455	1502
492	1458	1499
493	1460	1495
494	1463	1492
495	1465	1489
496	1467	1484
497	1468	1480
498	1472	1478
499	1474	1474
500	1476	1470
501	1479	1467
502	1481	1464
503	1483	1460
504	1487	1457
505	1489	1454
506	1491	1450
507	1494	1447
508	1496	1443
509	1497	1439
510	1500	1435
511	1502	1432
512	1504	1428
513	1506	1424
514	1510	1422
515	1512	1418
